Count,Strip,Lot ID,MONTH,DAY,Date(측정 일자 및 시간),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Variation,Group,Average
28,S0904,L820027537558,11,1,2021-11-01,1.13997,1.13956,1.14026,1.14048,1.12843,1.12813,1.12885,1.13475,1.11782,1.12582,1.12696,1.13882,1.13788,1.15039,1.14947,1.14748,1.14842,1.11905,1.13889,1.14287,1.14779,1.14756,1.14796,1.14623,1.14207,1.13916,1.13634,0,0,0,0.04243,B,1.139
29,S0403,L820027537558,11,1,2021-11-01,1.13331,1.13362,1.1335,1.13225,1.14003,1.13904,1.1392,1.14242,1.14395,1.14111,1.1456,1.15039,1.1408,1.14358,1.10869,1.11149,1.15007,1.09831,1.13968,1.1418,1.14766,1.14865,1.14965,1.14826,1.14958,1.14493,1.14129,0,0,0,0.04258,B,1.138
30,S1003,L820027537558,11,1,2021-11-01,1.13095,1.13053,1.13278,1.13155,1.13799,1.13646,1.13758,1.13911,1.14477,1.13907,1.14481,1.14331,1.13906,1.13988,1.1049,1.11709,1.11658,1.1239,1.10196,1.09918,1.09401,1.08944,1.11748,1.13245,1.13815,1.14441,1.1462,0,0,0,0.04333,B,1.136
31,S0406,L820027537558,11,1,2021-11-01,1.14005,1.14,1.13944,1.13829,1.12575,1.12612,1.12648,1.13336,1.11534,1.11349,1.11012,1.14393,1.15032,1.14161,1.14551,1.1446,1.10918,1.14449,1.14735,1.14814,1.14278,1.13609,1.1072,1.13454,1.14092,1.14293,1.14695,0,0,0,0.04355,B,1.137
32,S1006,L820027537558,11,1,2021-11-01,1.1403,1.1421,1.13992,1.13924,1.13131,1.13005,1.13076,1.13655,1.1199,1.11699,1.1063,1.14286,1.14544,1.14354,1.14615,1.14648,1.09031,1.14532,1.14667,1.14682,1.14345,1.13661,1.10258,1.09445,1.10311,1.10444,1.1036,0,0,0,0.04437,B,1.138
33,S0304,L820027537558,11,1,2021-11-01,1.13743,1.13843,1.13719,1.1395,1.12667,1.12616,1.12651,1.13367,1.11232,1.11295,1.12278,1.14419,1.13899,1.13902,1.14364,1.14878,1.10033,1.10673,1.13782,1.14219,1.14552,1.14733,1.13661,1.08828,1.08518,1.08841,1.09075,0,0,0,0.04456,B,1.136
34,S0405,L820027537558,11,1,2021-11-01,1.13349,1.13427,1.13308,1.13244,1.13726,1.13858,1.13867,1.13864,1.1481,1.14271,1.14705,1.14874,1.14484,1.14305,1.1167,1.1176,1.15374,1.09719,1.13877,1.14165,1.14611,1.14693,1.15014,1.14845,1.14798,1.14392,1.13942,0,0,0,0.04511,B,1.138
35,S0806,L820027537558,11,1,2021-11-01,1.13643,1.14016,1.13927,1.13901,1.12691,1.12492,1.12994,1.13427,1.12815,1.11228,1.10666,1.14278,1.14322,1.14285,1.14551,1.14212,1.14994,1.08526,1.08598,1.08898,1.0881,1.09355,1.14763,1.14587,1.14409,1.14172,1.13688,0,0,0,0.0453,B,1.137
36,S0604,L820027537558,11,1,2021-11-01,1.14024,1.13885,1.1384,1.14128,1.12852,1.12682,1.12917,1.13445,1.11614,1.12053,1.11877,1.14313,1.14287,1.14286,1.14746,1.14805,1.15225,1.1087,1.13925,1.14476,1.14892,1.14683,1.15006,1.14524,1.14387,1.14041,1.13645,0,0,0,0.04557,B,1.137
37,S0601,L820027537558,11,1,2021-11-01,1.13118,1.13214,1.13214,1.12849,1.13663,1.13606,1.13876,1.14191,1.11943,1.14299,1.14506,1.13144,1.13638,1.14729,1.10602,1.12497,1.11247,1.14639,1.14997,1.15027,1.14478,1.1374,1.10516,1.1387,1.14104,1.14541,1.14803,0,0,0,0.04591,B,1.131
38,S0204,L820027537558,11,1,2021-11-01,1.14181,1.13982,1.14089,1.13751,1.12963,1.12628,1.12838,1.13458,1.12122,1.12031,1.12087,1.14136,1.13996,1.14902,1.14857,1.14769,1.12172,1.12627,1.09827,1.09923,1.09404,1.08467,1.12002,1.13554,1.14077,1.14587,1.14662,0,0,0,0.04668,B,1.139
39,S0506,L820027537558,11,1,2021-11-01,1.13833,1.13794,1.13869,1.1405,1.12824,1.12607,1.1269,1.13071,1.11192,1.11059,1.10368,1.14081,1.13831,1.14074,1.14514,1.1447,1.14951,1.10495,1.13849,1.14034,1.14358,1.14639,1.14851,1.14659,1.14453,1.13919,1.13783,0,0,0,0.04668,B,1.135
40,S0902,L820027537558,11,1,2021-11-01,1.13207,1.13143,1.13033,1.13398,1.12691,1.1301,1.12908,1.12894,1.10641,1.1144,1.1216,1.12735,1.13414,1.14904,1.12577,1.14734,1.14623,1.09079,1.09631,1.09923,1.10699,1.10334,1.14525,1.1451,1.14304,1.1374,1.13668,0,0,0,0.04688,B,1.13
